ParentObjectID,Text,Created_On
SYNTH-LEAD-000001,Sales contact recorded a request for additional documentation. Synthetic note 1.,2022-10-28
SYNTH-LEAD-000001,Sales contact recorded a request for additional documentation. Synthetic note 2.,2022-11-28
SYNTH-LEAD-000001,Inquiry details were reviewed with the customer. Synthetic note 3.,2022-12-31
SYNTH-LEAD-000001,Customer requested product information. Synthetic note 4.,2023-01-11
SYNTH-LEAD-000002,,2021-04-23
SYNTH-LEAD-000002,Follow-up completed and technical requirements were discussed. Synthetic note 2.,2021-05-16
SYNTH-LEAD-000003,Next sales action was recorded for follow-up. Synthetic note 1.,2020-06-30
SYNTH-LEAD-000004,Follow-up completed and technical requirements were discussed. Synthetic note 1.,2022-07-01
SYNTH-LEAD-000005,Next sales action was recorded for follow-up. Synthetic note 1.,2021-12-17
SYNTH-LEAD-000005,Follow-up completed and technical requirements were discussed. Synthetic note 2.,2021-12-20
SYNTH-LEAD-000005,Inquiry details were reviewed with the customer. Synthetic note 3.,2022-02-24
SYNTH-LEAD-000006,Follow-up completed and technical requirements were discussed. Synthetic note 1.,2022-02-06
SYNTH-LEAD-000006,Follow-up completed and technical requirements were discussed. Synthetic note 2.,2022-05-05
SYNTH-LEAD-000007,Next sales action was recorded for follow-up. Synthetic note 1.,2020-04-17
SYNTH-LEAD-000008,Customer asked for clarification about product suitability. Synthetic note 1.,2021-01-01
SYNTH-LEAD-000009,Next sales action was recorded for follow-up. Synthetic note 1.,2022-04-21
SYNTH-LEAD-000009,Customer requested product information. Synthetic note 2.,2022-06-05
SYNTH-LEAD-000009,Next sales action was recorded for follow-up. Synthetic note 3.,2022-06-09
SYNTH-LEAD-000010,Customer requested product information. Synthetic note 1.,2022-08-06
SYNTH-LEAD-000011,Customer asked for clarification about product suitability. Synthetic note 1.,2021-04-25
SYNTH-LEAD-000011,Follow-up completed and technical requirements were discussed. Synthetic note 2.,2021-05-08
SYNTH-LEAD-000011,Inquiry details were reviewed with the customer. Synthetic note 3.,2021-05-08
SYNTH-LEAD-000012,Customer asked for clarification about product suitability. Synthetic note 1.,2022-06-02
SYNTH-LEAD-000012,Customer asked for clarification about product suitability. Synthetic note 2.,2022-07-17
SYNTH-LEAD-000013,Next sales action was recorded for follow-up. Synthetic note 1.,2022-07-19
SYNTH-LEAD-000013,Sales contact recorded a request for additional documentation. Synthetic note 2.,2022-08-28
SYNTH-LEAD-000014,Customer asked for clarification about product suitability. Synthetic note 1.,2021-03-01
SYNTH-LEAD-000014,Customer requested product information. Synthetic note 2.,2021-04-05
SYNTH-LEAD-000014,Follow-up completed and technical requirements were discussed. Synthetic note 3.,2021-04-13
SYNTH-LEAD-000014,Next sales action was recorded for follow-up. Synthetic note 4.,2021-04-17
SYNTH-LEAD-000015,Next sales action was recorded for follow-up. Synthetic note 1.,2022-09-30
SYNTH-LEAD-000015,Customer asked for clarification about product suitability. Synthetic note 2.,2022-10-12
SYNTH-LEAD-000016,Sales contact recorded a request for additional documentation. Synthetic note 1.,2020-11-19
SYNTH-LEAD-000016,Customer requested product information. Synthetic note 2.,2020-12-07
SYNTH-LEAD-000016,Customer asked for clarification about product suitability. Synthetic note 3.,2021-01-14
SYNTH-LEAD-000017,Next sales action was recorded for follow-up. Synthetic note 1.,2020-09-20
SYNTH-LEAD-000017,Inquiry details were reviewed with the customer. Synthetic note 2.,2020-09-20
SYNTH-LEAD-000017,Next sales action was recorded for follow-up. Synthetic note 3.,2020-09-24
SYNTH-LEAD-000018,Customer requested product information. Synthetic note 1.,2022-02-01
SYNTH-LEAD-000019,Follow-up completed and technical requirements were discussed. Synthetic note 1.,2021-12-03
SYNTH-LEAD-000019,Follow-up completed and technical requirements were discussed. Synthetic note 2.,2021-12-23
SYNTH-LEAD-000020,Inquiry details were reviewed with the customer. Synthetic note 1.,2020-06-15
